price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
162.0,74,42.32795,-71.09412,Entire home/apt,3,89,4.85,STR-446651,Roxbury,11,0.0,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,4,t,24,3888.0,1
444.0,226,42.3558,-71.06104,Entire home/apt,2,307,4.96,STR-411359,Downtown,2,1.0,"Modern Loft, 1700 SqFt. Location!",57,t,255,113220.0,1
320.0,111,42.29038,-71.13919,Entire home/apt,5,153,4.87,STR-456742,Roslindale,2,3.0,"Perfect & Practical Boston Rental (1,500+ sqft)",11,t,110,35200.0,1
95.0,615,42.3665,-71.05296,Entire home/apt,29,286,4.71,STR-400168,North End,1,1.0,Gorgeous Water Frt North End Studio,3,t,174,16530.0,1
82.0,66,42.29017,-71.13169,Private room,29,291,4.86,STR-408484,Roslindale,2,1.0,Private room in house,3,t,174,14268.0,1
137.0,108,42.29175,-71.14096,Entire home/apt,4,153,4.91,STR-523304,West Roxbury,2,1.0,Convenient Boston Hotel Alternative,11,t,88,12056.0,1
180.0,61,42.359764099121094,-71.06116485595703,Private room,91,365,4.76,none,Downtown,1,1.0,Best Location Luxury Beacon Hill North End Condo,0,t,0,0.0,0
230.0,91,42.34308,-71.07316,Entire home/apt,2,157,4.86,none,South End,7,0.0,"The Dalton - The Upton Boston, South End",10,t,60,13800.0,0
129.0,399,42.31653,-71.11049,Entire home/apt,3,89,4.84,STR-409453,Jamaica Plain,2,1.0,Cozy JP Studio-Great Location!,47,t,255,32895.0,1
204.0,117,42.34475,-71.08204,Private room,29,364,4.63,STR-398748,Back Bay,1,1.0,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,0,f,0,0.0,1
135.0,31,42.33395767211914,-71.10222625732422,Entire home/apt,91,174,4.68,none,Mission Hill,8,1.0,Duplex Penthouse in Longwood Area,0,t,0,0.0,0
442.0,95,42.32004,-71.11185,Entire home/apt,2,254,4.74,STR-399217,Jamaica Plain,1,4.0,4 bedroom Victorian Condo unit,2,f,12,5304.0,1
515.0,189,42.36489,-71.05198,Entire home/apt,2,231,4.8,STR-466324,North End,1,3.0,"North End 3BR Condo - Spacious, Central  Location",36,t,216,111240.0,1
309.0,118,42.34294,-71.07304,Entire home/apt,2,165,4.84,Exempt: This listing is a hotel or motel,South End,7,1.0,"The Washington - The Upton Boston, South End",10,t,60,18540.0,1
340.0,23,42.35714,-71.06968,Entire home/apt,91,358,4.45,none,Beacon Hill,1,1.0,Historic Beacon Hill,0,f,0,0.0,0
132.0,676,42.30907,-71.04674,Entire home/apt,2,5,4.89,STR-487240,Dorchester,2,2.0,2 bedroom 1st Floor Apartment in Savin Hill,35,t,210,27720.0,1
58.0,120,42.3800475,-71.062315,Private room,29,246,4.73,none,Charlestown,1,1.0,Bright Sunlit bedroom near MGH labs/Downtown,4,t,232,13456.0,0
73.0,750,42.30856,-71.04646,Private room,2,6,4.88,STR-487240,Dorchester,2,1.0,Andrea's Private Bath T Downtown,61,t,255,18615.0,1
168.0,288,42.34873,-71.15693,Entire home/apt,2,97,4.81,STR-383211,Brighton,4,1.0,Large Studio Apt w/ Full Kitchen & Bath + Parking!,53,t,255,42840.0,1
415.0,40,42.34175,-71.08359,Entire home/apt,91,364,4.85,none,Fenway,1,2.0,2 bed/2 bath in the heart of Boston,0,f,0,0.0,0
56.0,27,42.3256,-71.09413,Private room,30,201,4.85,STR-383293,Roxbury,3,1.0,"Fort Hill Top - 2Bk Private room,  brick townhouse",3,t,180,10080.0,1
122.0,606,42.33835,-71.0472,Private room,1,48,4.86,STR-401177,South Boston,1,1.0,Large Private Bedroom & Bathroom by the Seaport,77,f,255,31110.0,1
214.0,319,42.31293,-71.11527,Entire home/apt,2,270,4.91,STR-447499,Jamaica Plain,1,2.0,Urban oasis trendy JP 'hood - suite,29,t,174,37236.0,1
99.0,13,42.28639,-71.13199,Entire home/apt,29,353,4.92,none,Roslindale,2,1.0,Quiet Sunlit Attic Studio,2,f,116,11484.0,0
215.0,44,42.28447,-71.13301,Entire home/apt,29,322,4.61,none,Roslindale,2,2.0,Charming sunlit house in Boston,0,f,0,0.0,0
63.0,190,42.29009,-71.05762,Private room,1,340,4.89,STR-456144,Dorchester,1,1.0,Private room/ MUST LOVE DOGS,7,f,42,2646.0,1
63.0,47,42.28127,-71.13304,Private room,29,169,4.81,none,Roslindale,2,1.0,Room for 2 in Rozzie - Full Bath,1,f,58,3654.0,0
258.0,2,42.34981,-71.09476,Entire home/apt,91,362,4.0,none,Fenway,4,2.0,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",0,f,0,0.0,0
120.0,38,42.30593,-71.10733,Private room,91,365,4.62,none,Jamaica Plain,1,1.0,One Private Bedroom in J.P.,0,f,0,0.0,0
500.0,22,42.3358,-71.04948,Entire home/apt,29,179,4.86,STR-461452,South Boston,7,2.0,Spacious Updated 2 Bed Boston Condo w/ Deck,1,f,58,29000.0,1
230.0,85,42.33375,-71.04767,Private room,29,365,4.73,STR-383155,South Boston,7,1.0,Spacious Updated Boston Room/Condo,0,f,0,0.0,1
190.0,129,42.35771,-71.06978,Entire home/apt,29,232,4.84,STR-395757,Beacon Hill,1,0.0,"Studio, w kitchenette, in owner's Beacon Hill home",5,f,255,48450.0,1
181.0,55,42.34995,-71.13427,Entire home/apt,30,92,4.84,none,Allston,1,1.0,I bdrm in Boston/Allston/Brookline,2,t,120,21720.0,0
260.0,94,42.342121,-71.075073,Entire home/apt,3,126,4.82,Exempt: This listing is a hotel or motel,South End,7,1.0,"The Clare - The Upton Boston, South End",10,t,60,15600.0,1
130.0,80,42.34125,-71.07604,Entire home/apt,33,16,4.78,none,South End,5,1.0,furnished 1 bed apartment copley #5,0,t,0,0.0,0
180.0,202,42.31146,-71.11947,Entire home/apt,2,98,4.96,STR-545109,Jamaica Plain,1,1.0,Light-filled Private Suite on Beautiful Street,18,t,108,19440.0,1
75.0,11,42.34391,-71.15628,Entire home/apt,91,262,4.91,none,Brighton,3,1.0,Sunny 1 Bedroom,1,t,182,13650.0,0
260.0,94,42.34309,-71.07316,Entire home/apt,2,148,4.83,Exempt: This listing is a hotel or motel,South End,7,0.0,"The Tremont - The Upton Boston, South End",15,t,90,23400.0,1
67.0,19,42.34272,-71.15672,Entire home/apt,91,41,4.84,none,Brighton,3,1.0,Charming comfort 1 BR / Studio,1,t,182,12194.0,0
150.0,99,42.35902,-71.06296,Entire home/apt,365,263,4.87,none,Beacon Hill,1,1.0,Perfect Location to Explore Boston,0,f,0,0.0,0
247.0,135,42.26043,-71.11766,Entire home/apt,2,5,4.93,STR-429200,Hyde Park,1,4.0,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,9,t,54,13338.0,1
158.0,38,42.23533,-71.13256,Entire home/apt,29,292,4.5,none,Hyde Park,11,2.0,2bd APT 20min from Downtown Boston,0,f,0,0.0,0
50.0,14,42.28814,-71.06889,Private room,30,354,4.93,none,Dorchester,27,1.0,2 Minutes Walk  to the Red Line!,3,f,180,9000.0,0
158.0,202,42.28657,-71.13236,Entire home/apt,2,115,4.87,STR-544893,Roslindale,1,1.0,1bd Boston apt - Convenient & quiet,38,t,228,36024.0,1
132.0,263,42.31281,-71.06098,Entire home/apt,2,226,4.54,STR-547060,Dorchester,3,1.0,"Garden Suite near subway, beach",11,t,66,8712.0,1
115.0,492,42.32811,-71.09157,Private room,2,50,4.94,STR-580450,Roxbury,6,1.0,"AKBrownstone: custom-built, park garden view by T",65,t,255,29325.0,1
118.0,147,42.31907,-71.09252,Entire home/apt,28,44,4.93,STR-396299,Roxbury,4,0.0,Urban Travelers Modern Studio,4,t,224,26432.0,1
178.0,254,42.35884,-71.06332,Entire home/apt,91,192,4.8,none,Beacon Hill,1,1.0,Luxury Beacon Hill Apartment 1-BR,1,t,182,32396.0,0
158.0,31,42.32213,-71.06094,Entire home/apt,30,46,4.39,none,Dorchester,58,3.0,230B2 | The Roseclair Redline | 3BR 1B w/AC | Pvt,0,f,0,0.0,0
175.0,328,42.32843,-71.09369,Entire home/apt,2,157,4.78,STR-528095,Roxbury,5,1.0,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",42,t,252,44100.0,1
38.0,6,42.31676,-71.08,Private room,91,365,4.33,none,Roxbury,31,2.0,Parking Close 2 Downtown Renovated,0,f,0,0.0,0
150.0,254,42.35792,-71.06432,Entire home/apt,29,177,4.9,none,Beacon Hill,1,1.0,Beacon Hill Fabulous One Bedroom Apartment,1,f,58,8700.0,0
88.0,130,42.31016,-71.10582,Private room,29,47,4.88,STR-399287,Jamaica Plain,1,2.0,"Entire 2nd floor, skylight suite is all yours!",1,f,58,5104.0,1
42.0,90,42.38679,-71.00271,Private room,91,89,4.38,none,East Boston,1,1.0,Minutes to Boston-Near Beach 69-1,0,f,0,0.0,0
78.0,77,42.28969,-71.13183,Private room,6,181,4.92,STR-522159,Roslindale,2,1.0,Sunny bedroom in large quiet house,7,t,84,6552.0,1
195.0,363,42.33765,-71.07434,Entire home/apt,29,87,4.83,none,South End,1,2.0,"Your Sensational South End - 2BR, no stairs",5,f,255,49725.0,0
