price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
82.0,68,42.29017,-71.13169,Private room,29,184,4.87,STR-408484,Roslindale,2,1.0,Private room in house,5,t,255,20910.0,1
136.0,113,42.29175,-71.14096,Entire home/apt,4,53,4.91,STR-523304,West Roxbury,2,1.0,Convenient Boston Hotel Alternative,12,t,96,13056.0,1
182.0,61,42.359764099121094,-71.06116485595703,Private room,91,365,4.76,none,Downtown,1,1.0,Best Location Luxury Beacon Hill North End Condo,0,t,0,0.0,0
289.0,93,42.34308,-71.07316,Entire home/apt,2,197,4.86,none,South End,7,0.0,"The Dalton - The Upton Boston, South End",10,t,60,17340.0,0
158.0,416,42.31653,-71.11049,Entire home/apt,3,119,4.85,STR-409453,Jamaica Plain,2,1.0,Cozy JP Studio-Great Location!,47,t,255,40290.0,1
204.0,117,42.34475,-71.08204,Private room,29,365,4.63,STR-398748,Back Bay,1,1.0,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,0,f,0,0.0,1
135.0,31,42.33395767211914,-71.10222625732422,Entire home/apt,91,262,4.68,none,Mission Hill,4,1.0,Duplex Penthouse in Longwood Area,0,t,0,0.0,0
442.0,97,42.32004,-71.11185,Entire home/apt,2,268,4.74,STR-399217,Jamaica Plain,1,4.0,4 bedroom Victorian Condo unit,4,f,24,10608.0,1
505.0,203,42.36489,-71.05198,Entire home/apt,2,329,4.79,STR-466324,North End,1,3.0,"North End 3BR Condo - Spacious, Central  Location",36,t,216,109080.0,1
86.0,209,42.27171,-71.16688,Private room,2,354,4.57,STR-597328,West Roxbury,1,1.0,Comfy Home in Boston Suburbs,2,f,12,1032.0,1
358.0,123,42.34294,-71.07304,Entire home/apt,2,123,4.84,Exempt: This listing is a hotel or motel,South End,7,1.0,"The Washington - The Upton Boston, South End",13,t,78,27924.0,1
340.0,23,42.35714,-71.06968,Entire home/apt,91,359,4.45,none,Beacon Hill,1,1.0,Historic Beacon Hill,0,f,0,0.0,0
65.0,122,42.3800475,-71.062315,Private room,29,298,4.7,none,Charlestown,1,1.0,Bright Sunlit bedroom near MGH labs/Downtown,6,t,255,16575.0,0
128.0,303,42.34873,-71.15693,Entire home/apt,2,9,4.82,STR-383211,Brighton,4,1.0,Large Studio Apt w/ Full Kitchen & Bath + Parking!,51,t,255,32640.0,1
56.0,27,42.3256,-71.09413,Private room,30,242,4.85,STR-383293,Roxbury,3,1.0,"Fort Hill Top - 2Bk Private room,  brick townhouse",2,t,120,6720.0,1
124.0,628,42.33835,-71.0472,Private room,1,45,4.86,STR-401177,South Boston,1,1.0,Large Private Bedroom & Bathroom by the Seaport,70,f,255,31620.0,1
214.0,326,42.31293,-71.11527,Entire home/apt,2,295,4.91,STR-447499,Jamaica Plain,1,2.0,Urban oasis trendy JP 'hood - suite,26,t,156,33384.0,1
112.0,13,42.28639,-71.13199,Entire home/apt,29,353,4.92,none,Roslindale,3,1.0,Quiet Sunlit Attic Studio,1,f,58,6496.0,0
167.0,44,42.28447,-71.13301,Entire home/apt,29,358,4.61,none,Roslindale,3,2.0,Charming sunlit house in Boston,0,f,0,0.0,0
63.0,199,42.29009,-71.05762,Private room,1,320,4.89,STR-456144,Dorchester,1,1.0,Private room/ MUST LOVE DOGS,15,t,90,5670.0,1
63.0,47,42.28127,-71.13304,Private room,29,265,4.81,none,Roslindale,2,1.0,Room for 2 in Rozzie - Full Bath,0,f,0,0.0,0
118.0,303,42.3569,-71.1624,Private room,29,363,4.76,STR-405968,Brighton,2,1.0,Back Bay Elegance in Brighton,0,f,0,0.0,1
258.0,2,42.34981,-71.09476,Entire home/apt,91,363,4.0,none,Fenway,4,2.0,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",0,f,0,0.0,0
120.0,38,42.30593,-71.10733,Private room,91,365,4.62,none,Jamaica Plain,1,1.0,One Private Bedroom in J.P.,0,f,0,0.0,0
598.0,22,42.3358,-71.04948,Entire home/apt,29,148,4.86,STR-461452,South Boston,7,2.0,Spacious Updated 2 Bed Boston Condo w/ Deck,0,t,0,0.0,1
187.0,85,42.33375,-71.04767,Private room,29,365,4.73,STR-383155,South Boston,7,1.0,Spacious Updated Boston Room/Condo,0,t,0,0.0,1
181.0,55,42.34995,-71.13427,Entire home/apt,30,74,4.84,none,Allston,1,1.0,I bdrm in Boston/Allston/Brookline,1,f,60,10860.0,0
303.0,97,42.342121,-71.075073,Entire home/apt,3,183,4.82,Exempt: This listing is a hotel or motel,South End,7,1.0,"The Clare - The Upton Boston, South End",9,t,54,16362.0,1
180.0,208,42.31146,-71.11947,Entire home/apt,2,90,4.96,STR-545109,Jamaica Plain,1,1.0,Light-filled Private Suite on Beautiful Street,18,t,108,19440.0,1
75.0,12,42.34391,-71.15628,Entire home/apt,91,146,4.92,none,Brighton,3,1.0,Sunny 1 Bedroom,2,t,255,19125.0,0
175.0,37,42.35702,-71.06168,Entire home/apt,91,171,4.68,none,Downtown,1,1.0,"Sunny Beacon Hill, corner unit top floor",1,t,182,31850.0,0
269.0,98,42.34309,-71.07316,Entire home/apt,2,157,4.84,Exempt: This listing is a hotel or motel,South End,7,0.0,"The Tremont - The Upton Boston, South End",13,t,78,20982.0,1
77.0,19,42.34272,-71.15672,Entire home/apt,91,131,4.84,none,Brighton,3,1.0,Charming comfort 1 BR / Studio,1,t,182,14014.0,0
280.0,74,42.34492,-71.08482,Entire home/apt,29,365,4.61,STR-416239,Back Bay,1,1.0,Charlesview Suites Back Bay,0,f,0,0.0,1
150.0,99,42.35902,-71.06296,Entire home/apt,365,360,4.87,none,Beacon Hill,1,1.0,Perfect Location to Explore Boston,0,f,0,0.0,0
125.0,38,42.23533,-71.13256,Entire home/apt,29,305,4.5,none,Hyde Park,11,2.0,2bd APT 20min from Downtown Boston,0,f,0,0.0,0
51.0,15,42.28814,-71.06889,Private room,30,365,4.87,none,Dorchester,27,1.0,2 Minutes Walk  to the Red Line!,3,f,180,9180.0,0
